,"Note: You can directly modify the content of ""MSA"", but not ""English"" and ""Darija"". 
If the original ""Darija"" is indeed wrong, please provide the correction in the ""Darija_arabic correction"" column. 
For other remarks, please leave a comment in the ""Observations"" column.",,,,,,,,,,,,,,
4942,I won't share with my lovely musical friends your opinion!!,maghadich nchark ra2yak m3a s7abi lmosi9yin l3zaz,ماغاديش نشارك راإياك معا سحابي لموسيقيين لعزاز,لن أشارك رأيك مع أصدقائي الموسيقيين الرائعين!!,TRUE,AMRAOUI Nouhaila,,ماغاديش نشارك راإياك معا صحابي لموسيقيين لعزاز,FALSE,Yassine,,,,,
4943,"That's why they're your friends, not mine",hadchi 3lach homa s7abk o machi s7abi,هادشي علاش هوما سحابك أُ ماشي سحابي,لذلك هم أصدقاؤك، ليسوا أصدقائي,TRUE,AMRAOUI Nouhaila,,هادشي علاش هوما صحابك أُ ماشي صحابي,FALSE,Yassine,,,,,
4944,I was thinking of my french bagpipe playing friends,kant kanfakar f S7abi lfransawiyin li kayl3bo mizmar,كانت كانفاكار ف صحابي لفرانساوييين لي كايلعبو ميزمار,كنت أفكر في أصدقائي الفرنسيين الذين يعزفون على المزمار الاسكتلندي,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4945,they play lovely french dance music,homa kay3azfo 3la mosi9a dyal ra9s faransiya zwina,هوما كايعازفو علا موسيقا ديال راقس فارانسييا زوينا,يعزفون موسيقى رقص فرنسية جميلة,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4946,You could be open minded!!,ta9dar tkon matfatta7,تاقدار تكون ماتفاتّاح,يمكن أن تكون منفتح الذهن!!,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4947,If you heard good alternative music you might like it,ila sma3ti mosi9a okhra mzyana t9dr t3ajbak,إلا سماعتي موسيقا أُخرا مزيانا تقدر تعاجباك,إذا استمعت إلى موسيقى بديلة جيدة قد تعجبك,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4948,Maybe when it is my party you can come and enjoy something new,momkin mnin tkon l7afla dyali ta9dar tji o tstmte3 bchi 7aja jdida,مومكين منين تكون لحافلا ديالي تاقدار تجي أُ تستمتع بشي حاجا جديدا,ربما عندما تكون حفلتي يمكنك أن تأتي وتستمتع بشيء جديد,TRUE,ARROUBAT Hakima,,,,,,,,,
4949,That's why I'm listening to the good English pop rock,hadchi 3lach kansma3 lmosi9a pop o rock lmzyana,هادشي علاش كانسماع لموسيقا پوپ أُ روكك لمزيانا,لذلك أنا أستمع إلى البوب روك الإنجليزي الجيد,TRUE,ARROUBAT Hakima,,هادشي علاش كانسماع لموسيقا پوپ روكك لمزيانا بلونكلي,FALSE,Yassine,,,,,
4950,no French music,makayna la mosi9a faranciya,ماكاينا لا موسيقا فارانسييا,لا موسيقى فرنسية,TRUE,ARROUBAT Hakima,,ماكايناش موسيقى فارانسييا,FALSE,Yassine,,,,,
4951,"I don't like Breton, all that moving slowly around in a line or circle - very dull","maknbghich Breton, ga3 dakchi kaymchi bchwiya fkhaT wla da2ira - momila bzaf","ماكنبغيش برتون, ڭاع داكشي كايمشي بشوييا فخاط ولا داإرا - موميلا بزاف",لا أحب البريتوني، كل هذا الحركة البطيئة في خط أو دائرة - ممل جدًا,TRUE,ARROUBAT Hakima,,"ماكيعجبنيش برتون, ڭاع داكشي كايمشي بشوييا فخط ولا داإرا - موميلا بزاف",FALSE,Yassine,,,,,
4952,"But it's supposed to be my birthday, not your party",wlakin rah mfrouD ykon 3id miladi machi 7afla dyalk,ولاكين راه مفروض يكون عيد ميلادي ماشي حافلا ديالك,لكن من المفترض أن تكون عيد ميلادي، لا حفلتك,TRUE,ARROUBAT Hakima,,,,,,,,,
4953,I demand the right to choose the music that I love at my birthday,kanTalab bl7a9 f annani nakhtar lmosi9a likanbghi f 3id miladi,كانطالاب بلحاق ف أنّاني ناختار لموسيقا ليكانبغي ف عيد ميلادي,أطالب بالحق في اختيار الموسيقى التي أحبها في عيد ميلادي,TRUE,ARROUBAT Hakima,,,,,,,,,
4954,"I know, it's my party I can cry if I want to","ana 3araf, hadi 7afla dyali na9dar nabki ila bghit","أنا عاراف, هادي حافلا ديالي ناقدار نابكي إلا بغيت",أعلم، إنها حفلتي ويمكنني البكاء إذا أردت,TRUE,ARROUBAT Hakima,,,,,,,,,
4955,when I have a party for my birthday you may enjoy some different type of music,"mnin tkon 3andi 7afla f 3id miladi, t9dar tastamta3 bno3 makhtalaf mn lmosi9a","منين تكون عاندي حافلا ف عيد ميلادي, تقدار تاستامتاع بنوع ماختالاف من لموسيقا",عندما أقيم حفلة لعيد ميلادي قد تستمتع بأنواع مختلفة من الموسيقى,TRUE,ARROUBAT Hakima,,"منين تكون عاندي حافلا ف عيد ميلادي, تقدار تاستامتاع بموسيفى مختلفة",FALSE,Yassine,,,,,
4956,pop will be great,pop aykoun mbarra3,پوپ أيكون مبارّاع,سيكون البوب رائعًا,TRUE,ARROUBAT Hakima,,پوپ أيكون زوين,FALSE,Yassine,,,,,
4957,It is your choice after all,rah lkhiyar dyalk mora kolchi,راه لخييار ديالك مورا كولشي,إنها خيارك في النهاية,TRUE,ARROUBAT Hakima,,راه لخييار ديالك فلخر,FALSE,Yassine,,,,,
4958,I don't know it,ma3rftouch,ماعرفتوش,لا أعرفه,TRUE,ARROUBAT Hakima,,,,,,,,,
4959,I don't know it,ma3raft8ach,ماعرافتهاش,لا أعرفه,TRUE,ARROUBAT Hakima,,,,,,,,,
4960,you can play it to me if you want,t9dr tl3b8a lia ala bghiti,تقدر تلعبها ليا ألا بغيتي,يمكنك أن تعزفها لي إذا أردت,TRUE,ARROUBAT Hakima,,تقدر تعزفها ليا ألا بغيتي,FALSE,Yassine,,,,,
4961,but it's forbidden to cry at my parties,walakin mamno3 lbka f l7afla dyali,والاكين مامنوع لبكا ف لحافلا ديالي,ولكن يُمنع البكاء في حفلاتي,TRUE,ARROUBAT Hakima,,,,,,,,,
4962,except for joy,mn ghir lfara7,من غير لفاراح,عدا الفرح,TRUE,ARROUBAT Hakima,,,,,,,,,
4963,I was only being humourous,knt ghir kanD7k,كنت غير كانضحك,كنت فقط أمزح,TRUE,ARROUBAT Hakima,,,,,,,,,
4964,I was only being humourous,knt ghir fokaha,كنت غير فوكاها,كنت فقط أمزح,TRUE,ARROUBAT Hakima,,كنت غير كانضحك,FALSE,Yassine,,,,,
4965,I was only being humourous,knt ghir m9cheb,كنت غير مقشب,كنت فقط أمزح,TRUE,ARROUBAT Hakima,,,,,,,,,
4966,"It is a song by Lesley Gore from the 1960's, you should listen to it on youtube","raha oghniya dyal Lesey Gore mn ssttinat, khasak tsma3 liha f youtube","راها أُغنييا ديال لسي ڭور من الستّينات, خاساك تسماع ليها ف يوتوب",هي أغنية ليسلي جور من الستينيات، يجب أن تستمع إليها على يوتيوب,TRUE,ARROUBAT Hakima,,"راها أُغنييا ديال  ليسلي جور من الستّينات, خاساك تسمع ليها ف يوتوب",FALSE,Yassine,,,,,
4967,Send me the link,sift liya rabiT,سيفت لييا رابيط,أرسل لي الرابط,TRUE,ARROUBAT Hakima,,,,,,,,,
4968,Send me the link,sift lia lien,سيفت ليا لين,أرسل لي الرابط,TRUE,ARROUBAT Hakima,,سيفت ليا ليان,FALSE,Yassine,,,,,
4969,I will do tomorrow,ghadi nsifto ghda,غادي نسيفتو غدا,سأفعل غدًا,TRUE,ARROUBAT Hakima,,غاندير غدا,FALSE,Yassine,,,,,
4970,What about food?,o lmakla?,أُ لماكلا?,ماذا عن الطعام؟,TRUE,ARROUBAT Hakima,,,,,,,,,
4971,Have you had any thoughts?,3ndak chi afkar?,عنداك شي أفكار?,هل كانت لديك أية أفكار؟,TRUE,ARROUBAT Hakima,,,,,,,,,
4972,Let's keep it simple,yalah nkhaliwha bsiTa,يالاه نخاليوها بسيطا,لنبقِ الأمور بسيطة,TRUE,ARROUBAT Hakima,,,,,,,,,
4973,"Hi, is this the first time you've been on a plane?","ahlan, wach hadi hiya lmarra lawla lighadi tsafar biha f Tayara?","أهلان, واش هادي هييا لمارّا لاولا ليغادي تسافار بيها ف طايارا?",مرحباً، هل هذه المرة الأولى التي تستقل فيها الطائرة؟,TRUE,ARROUBAT Hakima,,,,,,,,,
4974,Do I feel a little nervous?,wach kanban chwiya matwatar?,واش كانبان شوييا ماتواتار?,هل أشعر ببعض القلق؟,TRUE,ARROUBAT Hakima,,,,,,,,,
4975,"No, it's not my first time flying, but I still get extremely anxious","la, hadi machi lmarra lawla likansafar biha f Tayara, walakin mazal kan7as btawattor kbir","لا, هادي ماشي لمارّا لاولا ليكانسافار بيها ف طايارا, والاكين مازال كانحاس بتاواتّور كبير",لا، ليست هذه المرة الأولى التي أطير فيها، ولكنني ما زلت أشعر بقلق شديد,TRUE,ARROUBAT Hakima,,,,,,,,,
4976,I don't know why,ma3raftch 3lach,ماعرافتش علاش,لا أعرف لماذا,TRUE,ARROUBAT Hakima,,,,,,,,,
4977,And why are you traveling today?,o 3lach msafra lyoum?,أُ علاش مسافرا ليوم?,ولماذا أنت مسافر اليوم؟,TRUE,ARROUBAT Hakima,,,,,,,,,
4978,I'm visiting my daughter who I've not seen for a good while,ana ghadya nchouf bnti limchfthach moudda hadi,أنا غاديا نشوف بنتي ليمشفتهاش مودّا هادي,أنا زائر ابنتي التي لم أرها منذ مدة طويلة,TRUE,ARROUBAT Hakima,,,,,,,,,
4979,I'm very excited to see her,ana mat7amsa bzaf nchofha,أنا ماتحامسا بزاف نشوفها,أنا متحمس جدًا لرؤيتها,TRUE,ARROUBAT Hakima,,,,,,,,,
4980,Are you on business?,wach khdam?,واش خدام?,هل أنت في رحلة عمل؟,TRUE,ARROUBAT Hakima,,واش نتا ف الخدمة,FALSE,Yassine,,,,,
4981,"No, I'm on vacation","la, ana f 3oTla","لا, أنا ف عوطلا",لا، أنا في إجازة,TRUE,ARROUBAT Hakima,,,,,,,,,
4982,You must be really happy to see your daughter,khask tkoni fr7ana bzaf 7it ghadi tchofi bntk,خاسك تكوني فرحانا بزاف حيت غادي تشوفي بنتك,يجب أن تكون سعيدًا جدًا لرؤية ابنتك,TRUE,ARROUBAT Hakima,,,,,,,,,
4983,It's six months since I've seen her,stt ch8or hadi machftha,ستّ شهور هادي ماشفتها,لقد مضى ستة أشهر منذ أن رأيتها,TRUE,ARROUBAT Hakima,,,,,,,,,
4984,I have my case loaded with all the things she likes to eat,3ndi chanTa 3amra bdakchi likatbghi takol,عندي شانطا عامرا بداكشي ليكاتبغي تاكول,لقد حملت حقيبتي بكل الأشياء التي تحب أن تأكلها,TRUE,ARROUBAT Hakima,,,,,,,,,
4985,and some toiletries she likes too,o chi l3ibat dyal naDafa likatbghiha 7ta hiya,أُ شي لعيبات ديال ناضافا ليكاتبغيها حتا هييا,وبعض مستحضرات النظافة التي تحبها أيضًا,TRUE,ARROUBAT Hakima,,أُ شي لعيبات ديال ناضافا ليكايعجبوها حتا هوما,FALSE,Yassine,,,,,
4986,She's gonna be really happy,ghadi tkon far7ana bzaf,غادي تكون فارحانا بزاف,ستكون سعيدة جدًا,TRUE,ARROUBAT Hakima,,,,,,,,,
4987,What's good for him?,achno mzyan bnisba lih?,أشنو مزيان بنيسبا ليه?,ما الذي ينفعه؟,TRUE,ARROUBAT Hakima,,,,,,,,,
4988,Cheese? Chocolate?,lfrmaj? choklat?,لفرماج? شوكلات?,جبن؟ شوكولاتة؟,TRUE,ARROUBAT Hakima,,,,,,,,,
4989,and I've got her the soap she likes,o jabt liha sabon likatbghi,أُ جابت ليها سابون ليكاتبغي,وقد اشتريت لها الصابون الذي تحبه,TRUE,ARROUBAT Hakima,,,,,,,,,
4990,My bag is really heavy,sac dyali t9il bzaf,ساك ديالي تقيل بزاف,حقيبتي ثقيلة جدًا,TRUE,ARROUBAT Hakima,,,,,,,,,
4991,Will she pick you up at the airport on arrival?,wach ghadi tji t8zzek mn lmaTar mnin toSl?,واش غادي تجي تهزّك من لماطار منين توصل?,هل ستقوم بإصطحابك من المطار عند الوصول؟,TRUE,ARROUBAT Hakima,,,,,,,,,
4992,Yes hopefully,ah kantmana,أه كانتمانا,نعم، بإذن الله,TRUE,ARROUBAT Hakima,,,,,,,,,
4993,although she said she might be late,wakha galt bila t9dr t3TTal,واخا ڭالت بيلا تقدر تعطّال,على الرغم من أنها قالت إنها قد تتأخر,TRUE,ARROUBAT Hakima,,حيت غادي تسافار ف وقت ديال زحام,FALSE,Yassine,,,,,
4994,because she will be travelling through rush hour,7it ghadi tsafar fsa3a dyal z7am,حيت غادي تسافار فساعا ديال زحام,لأنها ستكون مسافرة خلال ساعة الذروة,TRUE,ARROUBAT Hakima,,,,,,,,,
4995,The plan is to get a taxi to her apartment,lkhota hia nchdd taxi l parTma dyalha,لخوتا هيا نشدّ تاشي ل پارطما ديالها,الخطة هي الحصول على سيارة أجرة إلى شقتها,TRUE,ARROUBAT Hakima,,لبلان هو نشدّ تاكسي ل پارطما ديالها,FALSE,Yassine,,,,,
4996,What are you planning to do on your holiday?,achno katkhaTaT dir f 3oTla dyalk?,أشنو كاتخاطاط دير ف عوطلا ديالك?,ماذا تخطط لفعله في إجازتك؟,TRUE,ARROUBAT Hakima,,,,,,,,,
4997,Taxi sounds like a good idea!,kayban liya taxi fikra mzyana,كايبان لييا تاشي فيكرا مزيانا,سيارة الأجرة تبدو فكرة جيدة!,TRUE,ARROUBAT Hakima,,كايبان لييا تاكسي فكرة مزيانا,FALSE,Yassine,,,,,
4998,"On my side, I plan on joining friends who live there","mn ji8ti, kankhaTaT nmchi 3nd S7abi likay3icho tma","من جيهتي, كانخاطاط نمشي عند صحابي ليكايعيشو تما",من جانبي، أنا أخطط للانضمام إلى أصدقاء يعيشون هناك,TRUE,ARROUBAT Hakima,,,,,,,,,
4999,The point is mostly to see them,l8adaf howa awwalan nchofhom,لهاداف هووا أوّالان نشوفهوم,المقصود هو بالأساس رؤيتهم,TRUE,ARROUBAT Hakima,,لهذف الرئيسي هو نشوفهوم,FALSE,Yassine,,,,,
5000,to take advantage of the city and everything she can offer,nstafdo mn lmdina o dakchi li t9dr t3Ti,نستافدو من لمدينا أُ داكشي لي تقدر تعطي,لاستغلال المدينة وكل ما يمكن أن تقدمه,TRUE,ARROUBAT Hakima,,باش نستافدو من لمدينة أُ من داكشي لي تقدر تعطي,FALSE,Yassine,,,,,
5001,thank you for talking to me and settling my nerves,chokran mli hderti m3aya o 8ddentini,شوكران ملي هدرتي معايا أُ هدّنتيني,شكراً لك على التحدث معي وتهدئة أعصابي,TRUE,ARROUBAT Hakima,,,,,,,,,
5002,Have a wonderful holiday!,3otla sa3ida!,عوتلا ساعيدا!,أتمنى لك عطلة رائعة!,TRUE,ARROUBAT Hakima,,,,,,,,,
5003,"Have a good trip, too",kantmana lik ri7la zwina ta hiya,كانتمانا ليك ريحلا زوينا تا هييا,رحلة سعيدة أيضًا,TRUE,ARROUBAT Hakima,,كانتمانا ليك رحلة زوينا تا نتا,FALSE,Yassine,,,,,
5004,Enjoy your daughter!,stamta3 m3a bntk,ستامتاع معا بنتك,استمتع بوقتك مع ابنتك!,TRUE,ARROUBAT Hakima,,,,,,,,,
5005,"They say that flying is the safest form of transport, you know!","kaygolo Tayaran howa aktar was2il na9l li 2amina, kif kat3arfo","كايڭولو طاياران هووا أكتار واسإل ناقل لي أمينا, كيف كاتعارفو",يقولون أن الطيران هو أأمن وسيلة نقل، أتعلم!,TRUE,ARROUBAT Hakima,,"كايڭولو طاياران هووا أكتر وسائل نقل ل أمينا, واش عارف!",FALSE,Yassine,,,,,
5006,You shouldn't worry so much,matkhafoch bzaf,ماتخافوش بزاف,لا يجب أن تقلق كثيرًا,TRUE,ARROUBAT Hakima,,,,,,,,,
5007,"Oh, I know",ah 3raft,أه عرافت,آه، أنا أعلم,TRUE,ARROUBAT Hakima,,,,,,,,,
5008,"But you know, being a little stressed out on planes is not a rational thing","walakin kif kat3raf, tkon matwatar f Tyarat machi 7aja 3a9laniya","والاكين كيف كاتعراف, تكون ماتواتار ف طيارات ماشي حاجا عاقلانييا",ولكن كما تعلم، الشعور ببعض التوتر على متن الطائرات ليس أمرًا عقلانيًا,TRUE,ARROUBAT Hakima,,"والاكين كيف كاتعراف, تكون ماتواتار ف طيارات ماشي منطقي",FALSE,Yassine,,,,,
